author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@user-ih2sk1qp5s;2023-11-05T20:05:06Z;2;Thats frightenining imagine them controlled by a psychopath, we all know who;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbarapeterson3637;2023-11-05T19:05:57Z;2;❤ loving🎉you❤always 🎉 Atlas❤❤❤🎉🎉🎉🎉😂😂😂😂😂😂❤🎉;fn3KWM1kuAw;True;0;0;0;0;0;0
@hjjang8864;2023-11-05T14:52:17Z;1;Are they responding to the music or is it just a programmed movement? The answer means a huge difference.;fn3KWM1kuAw;True;0;0;0;0;0;0
@namehere4519;2023-11-05T04:02:34Z;5;the grooves are insane;fn3KWM1kuAw;True;0;0;0;0;0;0
@viarnay;2023-11-04T21:02:42Z;3;This is fun as hell!!..;fn3KWM1kuAw;True;0;0;0;0;0;0
@JJClassic;2023-11-04T12:18:05Z;2;♥;fn3KWM1kuAw;True;0;0;0;0;0;0
@cutback443;2023-11-04T09:46:39Z;6;this is fvcking terrifying.;fn3KWM1kuAw;True;0;0;0;0;0;0
@zYLONbASE;2023-11-04T07:51:23Z;2;I whant a SPOT❤;fn3KWM1kuAw;True;0;0;0;0;0;0
@zYLONbASE;2023-11-04T07:43:31Z;1;I do like thè Boston Dynamics .;fn3KWM1kuAw;True;0;0;0;0;0;0
@trupal_;2023-11-04T06:44:01Z;2;Crazy robos😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbarapeterson3637;2023-11-04T03:59:44Z;2;well 😂you😂 driving 🚗 🤣 😳  me😮 crazy 🤪 😜 😳 🤣 😐 😉 🤪 😜 😳 🤣 😐 ❤🎉;fn3KWM1kuAw;True;0;0;0;0;0;0
@kolkediszabolcs7972;2023-11-03T18:47:56Z;1;*WTH WHAT THE HELL?*;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-vr8gf2hh9h;2023-11-03T14:08:57Z;7;They do tend to get a bit quirky at night;fn3KWM1kuAw;True;0;0;0;0;0;0
@IsMirRille;2023-11-03T10:24:32Z;2;Sehr sehr Bedenklich ‼️;fn3KWM1kuAw;True;0;0;0;0;0;0
@ericmack001;2023-11-03T05:15:28Z;5;That was awesome!;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-bd5os6vu2z;2023-11-03T04:16:18Z;1;そう遠くないうちに「持続可能な社会実現のため人間を絶滅させましょう」とか言い出すぞ;fn3KWM1kuAw;True;0;0;0;0;0;0
@mynameis5405;2023-11-03T02:37:38Z;1;Скоро люди станут не нужны;fn3KWM1kuAw;True;0;0;0;0;0;0
@hannahhilbig5809;2023-11-03T01:22:59Z;8;Wait these look almost like AI animated robots... Are they actual, physical robots?? If so that's absolutely awesome!!!;fn3KWM1kuAw;True;0;0;0;0;0;0
@muazcalkin227;2023-11-02T20:49:19Z;1;Adamlar yapmış 😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-ws4ph9vh3d;2023-11-01T15:48:45Z;2;I love this one 😂😅💞;fn3KWM1kuAw;True;0;0;0;0;0;0
@angelenathomas-scruggs4308;2023-11-01T01:51:43Z;1;I can mash potato, I can do the twist, now tell me baby, do you like it like this ..;fn3KWM1kuAw;True;0;0;0;0;0;0
@Collyhumanrobot;2023-10-31T23:00:33Z;2;Do you love me sexy ❤ 😎;fn3KWM1kuAw;True;0;0;0;0;0;0
@justinchen207;2023-10-31T15:56:25Z;13;this is literally one of the best things i have ever seen on the internet;fn3KWM1kuAw;True;0;0;0;0;0;0
@NGOCHANTRASUA;2023-10-31T05:08:35Z;1;I need;fn3KWM1kuAw;True;0;0;0;0;0;0
@tenminutesofminecraft1870;2023-10-31T02:38:31Z;11;"""robots will take over the world""
meanwhile robots:";fn3KWM1kuAw;True;0;0;0;0;0;0
@orumcekosmanofficial;2023-10-30T11:50:18Z;4;robots FTW;fn3KWM1kuAw;True;0;0;0;0;0;0
@ValentinD-nt3id;2023-10-30T10:16:42Z;2;Now that chat GPS and LLM are a thing, implement this in a robot and make it dance by himself to any music ?;fn3KWM1kuAw;True;0;0;0;0;0;0
@1HorseOpenSlay;2023-10-29T17:16:31Z;1;I'm sorry Big Dog. so So sorry... 😞;fn3KWM1kuAw;True;0;0;0;0;0;0
@grzegorzsobodzian9802;2023-10-29T12:28:14Z;0;przerażają mnie te filmy... czas terminatora nadchodzi.;fn3KWM1kuAw;True;0;0;0;0;0;0
@CreeperAid;2023-10-28T22:44:28Z;5;"i want to buy an Atlas
i need it";fn3KWM1kuAw;True;0;0;0;0;0;0
@lisaj2269;2023-10-28T17:49:06Z;4;Hurry up and make it affordable so we can have robot buddies to help with the awfulness that can be daily life for many of us and to help me rescue animals and be my bestie.  Please hurry up!  Yeah I know- need to replace factory workers or whatever but come on! Do something actually good;fn3KWM1kuAw;True;0;0;0;0;0;0
@ibc_tarii;2023-10-28T16:14:49Z;5;This is the video Robots share in the future to promote their uprising against Humanity.;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-bf8zw9ob2l;2023-10-28T15:49:25Z;0;nice;fn3KWM1kuAw;True;0;0;0;0;0;0
@lostinseganet;2023-10-28T14:33:01Z;1;How much does each robot cost to buy??;fn3KWM1kuAw;True;0;0;0;0;0;0
@rubegoldburg7841;2023-10-28T12:08:33Z;1;❤❤❤  LOVE THIS  ❤❤❤ 👍👍;fn3KWM1kuAw;True;0;0;0;0;0;0
@bigmans-xx1vq;2023-10-28T04:28:01Z;1;Me and the boys recreating fnaf;fn3KWM1kuAw;True;0;0;0;0;0;0
@propaganda_LGBT;2023-10-28T02:13:56Z;0;Wow they are very good in robot dancing style...;fn3KWM1kuAw;True;0;0;0;0;0;0
@Alex-jo9ix;2023-10-27T21:48:40Z;1;No love, only scare;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbarapeterson3637;2023-10-27T14:24:51Z;0;I can't dance either atlas.....😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤🎉;fn3KWM1kuAw;True;0;0;0;0;0;0
@semiprime6034;2023-10-27T10:54:28Z;6;Could watch this all day long brilliant;fn3KWM1kuAw;True;0;0;0;0;0;0
@djjerome;2023-10-27T04:12:03Z;1;NOPE!!;fn3KWM1kuAw;True;0;0;0;0;0;0
@matthewgleon;2023-10-27T02:47:13Z;13;its all fun and games until they do the twist over our dead bodies;fn3KWM1kuAw;True;0;0;0;0;0;0
@semiprime6034;2023-10-26T17:48:21Z;2;Watch me now;fn3KWM1kuAw;True;0;0;0;0;0;0
@fluffymacaw933;2023-10-26T14:01:57Z;7;Some people don’t want to accept the fact that this is real because they are scared of the reality;fn3KWM1kuAw;True;0;0;0;0;0;0
@starman.mp4213;2023-10-26T13:20:42Z;5;ultron and the gang emoting after wiping the human race;fn3KWM1kuAw;True;0;0;0;0;0;0
@13ivan_bolvan;2023-10-25T18:12:07Z;2;"Нам такое не снилось даже ; )";fn3KWM1kuAw;True;0;0;0;0;0;0
@alejobrcn6515;2023-10-25T01:20:04Z;2;Esto se realizó por medio de captura de movimiento remoto y teleoperación, por qué me parece increíble Qué un grupo de personas se hayan tomado la tarea de programar los motores paso a paso en cada articulación;fn3KWM1kuAw;True;0;0;0;0;0;0
@ShakaSlots;2023-10-24T23:02:47Z;3;wouldve been better if the camera(person) was a bot;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbarapeterson3637;2023-10-24T18:52:20Z;1;I like 👍 👌 ♥  it  just 👍 👌  just 👍 👌  like 👍 👌 that ❤❤❤❤❤❤🎉;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbarapeterson3637;2023-10-24T18:49:36Z;2;😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🤔🤔🤔🤔💋💋💋💋💋💋💋💋💋💋💕💕💕💕💋💋💋💋💕💕💋💋💋💕💕💕💋💋💋💋💋💋💋💋💋💕💋💕💕💕💋💋💋💋💋💋💋💕💕💕💕💋💋💕😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@madskillproduction;2023-10-23T14:54:53Z;8;Eat your heart out, Elon!;fn3KWM1kuAw;True;0;0;0;0;0;0
@madskillproduction;2023-10-23T14:53:09Z;6;Boston dynamics is a silly place 😊;fn3KWM1kuAw;True;0;0;0;0;0;0
@zakarkgaming9530;2023-10-23T13:21:36Z;4;this is the emote robots will make when they start their takeover.;fn3KWM1kuAw;True;0;0;0;0;0;0
@dagmarpeissl3180;2023-10-23T08:24:09Z;1;A b a r t i g;fn3KWM1kuAw;True;0;0;0;0;0;0
@stevejaye9329;2023-10-22T21:56:17Z;2;This is real?;fn3KWM1kuAw;True;0;0;0;0;0;0
@larrystarks8346;2023-10-22T16:52:28Z;5;Think about when they program them to attack people of color  🤔 🌍 ⏳⌛👀;fn3KWM1kuAw;True;0;0;0;0;0;0
@ShadowDemon_4;2023-10-22T13:56:24Z;2;This is still impressive and fun.;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-lc6bv4oh1x;2023-10-22T09:17:54Z;1;Face video so easy ?!;fn3KWM1kuAw;True;0;0;0;0;0;0
@AnitanneRupe-fo9ef;2023-10-22T01:18:27Z;3;Omg spot's doing it too;fn3KWM1kuAw;True;0;0;0;0;0;0
@AnitanneRupe-fo9ef;2023-10-22T01:17:40Z;0;I love Atlas looh at this robot go 👏👏👏👏;fn3KWM1kuAw;True;0;0;0;0;0;0
@NOHCHEYCHO-BORZ;2023-10-21T20:01:36Z;2;"Lady y Caballeros..Estamos en el umbral de una nueva era, donde el hombre será un organismo biológico de segunda clase, un planeta habitado... 
¡Saludos pilotos argentinos!";fn3KWM1kuAw;True;0;0;0;0;0;0
@supersmashman1993;2023-10-21T19:25:45Z;8;Humanity ending credits;fn3KWM1kuAw;True;0;0;0;0;0;0
@ramielkady938;2023-10-21T19:13:51Z;0;All of that engineering design, technology, and intentional work is coming close to producing something that can move like what copying errors - acted upon by natural selection - have produced a long time ago ...;fn3KWM1kuAw;True;0;0;0;0;0;0
@denisestark1059;2023-10-21T12:32:23Z;0;❤send me one❤😅;fn3KWM1kuAw;True;0;0;0;0;0;0
@allankhad1030;2023-10-21T05:01:31Z;2;Human knowledge, intelligence,  discovery and of course dynamic creativity.. beautiful gifts of creation⚛☮;fn3KWM1kuAw;True;0;0;0;0;0;0
@edwardvictormartin7511;2023-10-20T13:58:05Z;1;I don't see any healthcare 🤷‍♂️. Are those going to be dancing over dead soldiers's graves next? And outside maimed soldiers's quarters at VFW's and American Legion's and USO's and DVA's and Veterans's Health Clinics and more?;fn3KWM1kuAw;True;0;0;0;0;0;0
@hawtsauce1983;2023-10-19T23:02:23Z;4;Simply the greatest thing I have probably ever seen. Now I am running off to use this as the sword in my defense of how technology is no more evil than the people building it . Beautiful job Boston Dynamics!;fn3KWM1kuAw;True;0;0;0;0;0;0
@jessiez7006;2023-10-19T22:48:23Z;6;i love them.;fn3KWM1kuAw;True;0;0;0;0;0;0
@JoshuaR.Collins;2023-10-18T20:35:38Z;3;we need a dance of video with these vs tesla's optimums robot;fn3KWM1kuAw;True;0;0;0;0;0;0
