author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@jeanniebilliejean;2023-06-04T15:50:28Z;0;"Hmm  !? I actually have ""dynamic"" in my email ❤ oh i named one these neato lol right!?";fn3KWM1kuAw;True;0;0;0;0;0;0
@harper626;2023-06-04T15:21:23Z;5;choreography was fantastic (and great music).;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-tu7mt4sf2n;2023-06-04T12:26:43Z;2;НАС ВСЕХ убьют.;fn3KWM1kuAw;True;0;0;0;0;0;0
@nomundodaluagames8385;2023-06-04T11:53:32Z;10;Eles já tão ensaiando a dancinha da vitória pra quando dominarem o mundo 😍😍😍 que fofo gente kkkkkkk;fn3KWM1kuAw;True;0;0;0;0;0;0
@nomundodaluagames8385;2023-06-04T11:53:01Z;7;They are already rehearsing the victory dance for when they dominate the world lol;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-ph4cl3nq8l;2023-06-04T10:33:48Z;3;Они танцуют лучше чем я 😂😂😂😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@pennysargent9557;2023-06-04T09:53:50Z;0;Brilliant;fn3KWM1kuAw;True;0;0;0;0;0;0
@GarryAndrews_;2023-06-04T09:36:56Z;2;When your robots take over and wipe out humanity, can you ask them to keep me alive unmolested.;fn3KWM1kuAw;True;0;0;0;0;0;0
@vmcougarintn5035;2023-06-04T05:02:30Z;1;🤣;fn3KWM1kuAw;True;0;0;0;0;0;0
@GunjanDas-be2kv;2023-06-04T01:44:13Z;2;Is this CGI?;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-no2xf1gs4v;2023-06-04T00:34:19Z;4;Що за пісня звучить? Прикольна.😊;fn3KWM1kuAw;True;0;0;0;0;0;0
@brmgranado;2023-06-03T23:10:48Z;6;"we're fine as long as they only care about their dances and parties

￼";fn3KWM1kuAw;True;0;0;0;0;0;0
@BenzFrank;2023-06-03T22:39:49Z;9;holy crap they already dance better than white people... we are doomed;fn3KWM1kuAw;True;0;0;0;0;0;0
@frechesferkel2749;2023-06-03T19:52:07Z;7;when they finally take over the world;fn3KWM1kuAw;True;0;0;0;0;0;0
@callmethreeone;2023-06-03T17:18:20Z;1;More please!;fn3KWM1kuAw;True;0;0;0;0;0;0
@shailong3254;2023-06-03T16:21:05Z;0;That’s a lot of programming. Now get them to do that autonomously;fn3KWM1kuAw;True;0;0;0;0;0;0
@matiasyanez600;2023-06-03T15:22:38Z;2;😂 😂 😂 esto es real?;fn3KWM1kuAw;True;0;0;0;0;0;0
@TracyWeber-rg8hz;2023-06-03T14:42:52Z;1;Wow!!! That’s totally awesome ❤;fn3KWM1kuAw;True;0;0;0;0;0;0
@Cloudly_Round;2023-06-03T14:35:06Z;1;wall e is coming to life;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-qm6ky2ew3c;2023-06-03T14:02:57Z;0;Терминатор 5😅😅😅.;fn3KWM1kuAw;True;0;0;0;0;0;0
@oscaromahony1019;2023-06-03T08:50:28Z;9;Chat GPT after destroying humanity:;fn3KWM1kuAw;True;0;0;0;0;0;0
@rmarsyoutube;2023-06-03T05:57:18Z;20;I need your clothes your boots and your motorcycle;fn3KWM1kuAw;True;0;0;0;0;0;0
@Slayr.;2023-06-03T03:39:31Z;5;"2 Years Ago...

I want an Encore!";fn3KWM1kuAw;True;0;0;0;0;0;0
@margeanblake4356;2023-06-03T02:31:48Z;2;Awesome!;fn3KWM1kuAw;True;0;0;0;0;0;0
@philrogers4535;2023-06-02T13:48:11Z;5;Looks fake to me!;fn3KWM1kuAw;True;0;0;0;0;0;0
@RachelBotham;2023-06-02T09:57:00Z;2;We've come a long way since the Python Turtle!! 🫣🐢😜🤖;fn3KWM1kuAw;True;0;0;0;0;0;0
@zombuwulf;2023-06-02T09:08:00Z;0;Boston Dynamics>Dork in Spandex;fn3KWM1kuAw;True;0;0;0;0;0;0
@bikramjitsingh8708;2023-06-01T19:21:22Z;1;This is good!!;fn3KWM1kuAw;True;0;0;0;0;0;0
@ElchinRahmanov;2023-06-01T18:43:26Z;5;When i was kid, always dream about real robots. Here is it. I LOVE BOSTON DYNAMICS =);fn3KWM1kuAw;True;0;0;0;0;0;0
@JessicaMorris-rj9ep;2023-06-01T17:44:51Z;3;I love it!!❤😅;fn3KWM1kuAw;True;0;0;0;0;0;0
@kingkruger4581;2023-06-01T16:13:47Z;2;Die tanzen besser als ich😅,spektakulär;fn3KWM1kuAw;True;0;0;0;0;0;0
@QuaaludeCharlie;2023-06-01T10:30:37Z;3;Software and Hardware under electrical Power is all that it is .  A Computer can Never be Sentient ever . It only follows a Program . What is in that Program is All it can ever Run , It Will Never Do , Be or Have Anything as it is Hardware and Software , Never Can it Become a Self , Will Never Be Aware of itself as the Power can be Unplugged , Even if it had Capacitors and Solar Panels a Human can turn it off .  But it is Useful and fun .;fn3KWM1kuAw;True;0;0;0;0;0;0
@kremolaconia;2023-06-01T09:54:34Z;4;INSERT AUDIBLE SCREAM HERE.;fn3KWM1kuAw;True;0;0;0;0;0;0
@mstsp9546;2023-06-01T08:50:52Z;5;Really enjoyed this! Well done.;fn3KWM1kuAw;True;0;0;0;0;0;0
@eastcoastuk1120;2023-06-01T08:30:50Z;7;And when they aare weaponised ?;fn3KWM1kuAw;True;0;0;0;0;0;0
@rdp131;2023-06-01T04:17:56Z;4;Robots are a continuation of the human race.;fn3KWM1kuAw;True;0;0;0;0;0;0
@aufildutempscouture9406;2023-05-31T22:43:25Z;0;not in the rhythm;fn3KWM1kuAw;True;0;0;0;0;0;0
@romanz3423;2023-05-31T20:32:40Z;1;Fascinating;fn3KWM1kuAw;True;0;0;0;0;0;0
@Masonarwhal;2023-05-31T18:21:31Z;3;This is why I love Boston dynamics.;fn3KWM1kuAw;True;0;0;0;0;0;0
@pchansen100;2023-05-31T15:19:18Z;3;Wait until Chat GPT sees this.  It will take exactly .00567 seconds to figure out what to do next.;fn3KWM1kuAw;True;0;0;0;0;0;0
@anjamuller2621;2023-05-31T12:08:01Z;5;Humanity is being replaced by the machines robots. That means farewell humanity. It's also frightening how many people liked it and didn't understand what this was really about...;fn3KWM1kuAw;True;0;0;0;0;0;0
@Arkteckx;2023-05-31T09:55:39Z;3;Absolutely stunning to see! 😊;fn3KWM1kuAw;True;0;0;0;0;0;0
@_-.-.__-_.._--_;2023-05-31T01:09:15Z;15;Me after killing all humans:;fn3KWM1kuAw;True;0;0;0;0;0;0
@dr.feelgood3670;2023-05-30T23:16:05Z;7;This is going to play at the end credits of the world;fn3KWM1kuAw;True;0;0;0;0;0;0
@trippryder;2023-05-30T18:21:18Z;4;CGI much?;fn3KWM1kuAw;True;0;0;0;0;0;0
@enochauston4068;2023-05-30T17:48:00Z;0;Super!!!!!;fn3KWM1kuAw;True;0;0;0;0;0;0
@aegislash6060;2023-05-30T05:09:22Z;2;Please quit your job at Boston Dynamics and do another job. At this rate, by 3000, they might be able to develop feelings.;fn3KWM1kuAw;True;0;0;0;0;0;0
@grinard555;2023-05-29T19:59:19Z;1;Los desarrollos ingenieros y demás personal así como las cosas que Boston dynamics está desarrollando me imagino ya d ben ser secreto de estado de EEUU cómo será el estado americano cuidando estás personas;fn3KWM1kuAw;True;0;0;0;0;0;0
@awsomebot1;2023-05-29T18:50:20Z;1;This is a Dragon's Blood reference now;fn3KWM1kuAw;True;0;0;0;0;0;0
@trade5374;2023-05-29T03:34:27Z;13;Im so tired of the old heads trying to tell people this is AI or CGI lmaooooooo you dont know what youre talking about!!! 😂😂😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@trade5374;2023-05-29T03:28:02Z;5;Its been 2 years already??;fn3KWM1kuAw;True;0;0;0;0;0;0
@tracybrennan4194;2023-05-29T00:43:53Z;11;Am I the only one nervous about this?;fn3KWM1kuAw;True;0;0;0;0;0;0
@helenbostock2350;2023-05-28T22:03:46Z;0;It's cool;fn3KWM1kuAw;True;0;0;0;0;0;0
@helenbostock2350;2023-05-28T21:47:57Z;0;Oh no. Your makers are making Electric cars. Every batteries use a pack consisting of 2,000 plus individuals lithium ion cell. Only one battery in an old fashioned car chemical engine turned it into electric and delivered as voltage. AI what's the environment impact on the earth from a cars impacted vs. electricity vecals. Can you please find studied if any;fn3KWM1kuAw;True;0;0;0;0;0;0
@Rfox-;2023-05-28T18:02:55Z;0;Wow;fn3KWM1kuAw;True;0;0;0;0;0;0
@gino0009;2023-05-28T15:51:04Z;1;It would be nice to call this an American invention but that would be racist. Also the Chinese government has everything we do thanks to them buying out professors.;fn3KWM1kuAw;True;0;0;0;0;0;0
@teelada5232;2023-05-28T08:38:22Z;2;Robot tech has not advanced to make Robot that  can do as the guys.... It is AI CGI. They record the guys dancing an AI CGI program can make the guys be anything the  creator wants. You  an find demo of the on youtube. Currantly being use on Sci-fi movies because the can transform the video very quickly and foremore perfect than the CGI used in Ibot etc. The dogs are aready being used mainly in situations where their may be a bomb. Adultlook dogs can walk and move they can't do this particular level the ones that are being used actually is controlled by someone sitting at a desktop for either an app on a phone with a a feature similar to ring security systems in how it captures real-time and the person with the laptop or the control to the dog robot is actually Bluetooth for Wi-Fi technology.;fn3KWM1kuAw;True;0;0;0;0;0;0
@MrUranium238;2023-05-27T21:51:40Z;23;This is how they will dance on our graves 💀💀💀💀💀💀;fn3KWM1kuAw;True;0;0;0;0;0;0
@cheltonecossa4257;2023-05-27T13:54:30Z;1;What try to do to ours;fn3KWM1kuAw;True;0;0;0;0;0;0
@aksharaghav9657;2023-05-26T05:43:42Z;13;When a bunch of robots have better dance skills than I do!;fn3KWM1kuAw;True;0;0;0;0;0;0
@dprofessorscritters8762;2023-05-26T02:55:34Z;5;Somehow this is creepier than when they do alll the acrobatics.;fn3KWM1kuAw;True;0;0;0;0;0;0
@MsLizziebeth1;2023-05-25T21:04:49Z;1;"YEEEEEESSSSS !!!!!!
(Thank you, The Contours, 1962. And again 1988 from the film Dirty Dancing 1987!)";fn3KWM1kuAw;True;0;0;0;0;0;0
@biggestbog;2023-05-25T20:02:43Z;4;Me and the boys at the doodad and doohickey convention;fn3KWM1kuAw;True;0;0;0;0;0;0
